id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24660671,Newly built flat close to Drottningholm Caste!,98673764,Cecilia,,Bromma,59.33040755995253,17.914816169721067,Entire home/apt,396,2,3,2018-08-19,0.46,1,0
24661873,Spacey and clean - Södermalm,11619843,Per,,Södermalms,59.318249302856714,18.05423625967823,Entire home/apt,1801,10,1,2018-09-02,0.37,2,108
24666557,Cosy and Comfy Apartment in Vasastan,135323554,Andreas,,Östermalms,59.349250223773566,18.098767070044147,Entire home/apt,1099,2,0,,,3,6
24669467,Newly renovated two room apt. - central Stockholm,76577577,Niklas,,Östermalms,59.34718680070132,18.098291222568594,Entire home/apt,747,2,5,2018-08-05,0.82,1,0
24670794,Stockholm Söder Bohemian Apartment,159524579,Antonia,,Södermalms,59.31403555677269,18.079888988610264,Entire home/apt,711,4,5,2018-07-22,0.79,1,0
24676870,Stockholms posh district,79544920,Amanda,,Östermalms,59.33481869809541,18.08590525567629,Entire home/apt,1603,2,1,2018-08-26,0.34,2,49
24680846,RUM in the  city !  exclusively and ONLY  ladies.,186546033,Katherine,,Södermalms,59.31722464373073,18.071832548085723,Private room,801,1,36,2018-10-26,6.00,1,68
24682883,Huge Exklusive Old Town Penthouse,73308518,Johan,,Södermalms,59.32255295697997,18.07320273115578,Entire home/apt,7996,1,2,2018-11-02,0.34,1,21
24683238,Lovely room for 2/ 15-20 min from Central Station.,35628350,Anna,,Östermalms,59.35507011868909,18.086325791197776,Private room,468,1,16,2018-11-15,2.49,1,323
24685936,Stylish penthouse with roof top terrace,43878961,Linus,,Södermalms,59.31873878673241,18.048910857492324,Entire home/apt,1603,7,1,2018-06-18,0.19,1,0
24696647,Functional home with own peculiar garden,66637501,Manuel,,Skarpnäcks,59.28466944043452,18.117670835532742,Entire home/apt,657,7,9,2018-09-11,1.36,1,94
